vehicle,type,notes
941,Moderus Gamma LF04AC BD,
942,Moderus Gamma LF04AC BD,
943,Moderus Gamma LF04AC BD,
944,Moderus Gamma LF04AC BD,
945,Moderus Gamma LF04AC BD,
946,Moderus Gamma LF04AC BD,
947,Moderus Gamma LF04AC BD,
948,Moderus Gamma LF04AC BD,
949,Moderus Gamma LF04AC BD,
950,Moderus Gamma LF04AC BD,
951,Moderus Gamma LF04AC BD,
952,Moderus Gamma LF04AC BD,
953,Moderus Gamma LF04AC BD,
954,Moderus Gamma LF04AC BD,
955,Moderus Gamma LF04AC BD,
956,Moderus Gamma LF04AC BD,
957,Moderus Gamma LF04AC BD,
958,Moderus Gamma LF04AC BD,
959,Moderus Gamma LF04AC BD,
960,Moderus Gamma LF04AC BD,
961,Moderus Gamma LF04AC BD,
962,Moderus Gamma LF04AC BD,
963,Moderus Gamma LF04AC BD,
964,Moderus Gamma LF04AC BD,
965,Moderus Gamma LF04AC BD,
966,Moderus Gamma LF04AC BD,
967,Moderus Gamma LF04AC BD,
968,Moderus Gamma LF04AC BD,
969,Moderus Gamma LF04AC BD,
970,Moderus Gamma LF04AC BD,
971,Siemens / Duewag R.1.1,
